date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:06:03	11085/11085	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3fa1-2b4d%22	http://ancientmessene.gr/content/monuments/thumbs/09181204800.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181204800.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:06:18	434923/434923	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3d63-6a2eb%22	http://ancientmessene.gr/content/monuments/images/09181204731.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/09181204731.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:06:20	8834/8834	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3fa1-2282%22	http://ancientmessene.gr/content/monuments/thumbs/09181204846.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181204846.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:06:23	551922/551922	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3d6a-86bf2%22	http://ancientmessene.gr/content/monuments/images/09181204652.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/09181204652.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:06:25	7507/7507	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3fa2-1d53%22	http://ancientmessene.gr/content/monuments/thumbs/09181204924.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181204924.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:06:54	207342/207342	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3db1-329ee%22	http://ancientmessene.gr/content/monuments/images/09181204924.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/09181204924.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:06:56	11560/11560	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3fa2-2d28%22	http://ancientmessene.gr/content/monuments/thumbs/09181205017.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181205017.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:07:02	604352/604352	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3da8-938c0%22	http://ancientmessene.gr/content/monuments/images/09181204800.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/09181204800.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:07:04	10621/10621	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3fa2-297d%22	http://ancientmessene.gr/content/monuments/thumbs/09181205136.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181205136.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:07:40	598224/598224	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3db3-920d0%22	http://ancientmessene.gr/content/monuments/images/09181204846.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/09181204846.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
